71 findings in CHANGELOG.md
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:81:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:84:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:85:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:86:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:87:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:88:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:93:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:94:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:95:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:96:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:101:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:102:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:103:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:108:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:109:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:110:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:111:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:112:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:113:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:118:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:119:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:120:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:121:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:126:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:127:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:128:1 MD007/ul-indent Unordered list indentation 
tests\unit\core\anti_analysis\SANDBOX_DETECTOR_COVERAGE_REPORT.md:129:1 MD007/ul-indent Unordered list indentation 
45 findings in tests\reports\RUST_LAUNCHER_TEST_REPORT.md
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:14:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:16:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:17:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:18:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:28:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:29:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:30:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:31:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:32:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:33:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:34:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:35:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:36:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:37:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:38:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:39:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:40:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:41:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:42:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:43:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:44:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:45:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:46:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:47:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:48:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:56:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:57:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:58:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:64:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:65:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:66:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:67:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:73:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:74:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:75:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:76:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:77:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:83:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:84:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:85:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:86:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:92:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:93:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
tests\reports\RUST_LAUNCHER_TEST_REPORT.md:94:1 MD007/ul-indent Unordered list indentation [Expected: 2; Actual: 4]
